type,name,difficulty,least_people,ball_par_person,other,id
整合訓練,模仿訓練,低,2,0,無,1
整合訓練,單手頂球,中,1,1,無,2
整合訓練,雙人單手對傳,高,2,0.5,無,3
整合訓練,單手頂球移動,高,1,1,無,4
整合訓練,單手頂球接力,高,3,1/6,無,5
整合訓練,1球回合賽,中,6,1,球場,6
整合訓練,雙人兩球對傳,高,2,1,無,7
整合訓練,踮腳反應,低,2,0,無,8
傳球,手腕施力,低,2,0,同組數藥球,9
傳球,雙人對球,低,2,0.5,無,10
傳球,對牆傳球,低,1,1,牆壁,11
傳球,傳球射籃,中,1,1/3,籃框,12
傳球,對空傳球,中,1,1,無,13
傳球,轉半圈對空傳球,中,1,1,無,14
傳球,雙人背傳,高,2,0.5,無,15
傳球,三人傳球,中,3,1/3,無,16
傳球,多人跑傳,中,3,1/6,無,17
傳球,三角傳球,中,4,1/4,無,18
傳球,四角傳球,中,4,1/4,無,19
傳球,接牆壁反彈球,中,3,2/3,牆壁,20
發球,托球,低,1,1,無,21
發球,對牆發球,低,1,1,牆壁,22
發球,發球,低,1,1/2,球場,23
發球,九宮格發球,低,1,1/3,球場,24
發球,控制發球位置,低,1,1/3,球場,25
發球,發球成功率,低,1,1/3,球場,26
發球,壓力發球,低,6,0.1,球場,27
發球,發與接發競賽,低,7,0.1,球場,28
接扣球,一扣一接,中,2,0.5,無,29
接扣球,雙人輪流接扣,中,2,0.5,無,30
接扣球,三人接舉扣,高,3,0.33,無,31
接扣球,多人接舉扣,中,3,0.166,無,32
接扣球,一扣一高手接,中,2,0.5,無,33
接扣球,列隊接扣,低,5,0.33,無,34
接扣球,移動接扣,中,2,0.33,無,35
接扣球,接扣接嗆,中,3,0.33,無,36
接扣球,三人接扣,中,7,0.14,無,37
接扣球,魚躍,高,1,0,無,38
接扣球,翻滾,高,1,0,無,39
接扣球,個人防守,中,2,0.5,無,40
接扣球,雙人防守,中,3,0.4,無,41
接扣球,三人防守,中,4,0.4,無,42
接扣球,觸網球,低,2,0.5,場地,43
接扣球,修正球練習,低,2,0.33,場地,44
扣球,助跑練習,低,1,0,無,45
扣球,對牆扣球,低,1,1,牆壁,46
扣球,最高點接球,低,1,0.5,無,47
扣球,自由攻擊,中,2,0.5,場地,48